,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
0,2 jun 2025,"3385,10","3415,90","3406,50","3412,60","3412,60",2587
1,30 may 2025,"3315,10","3318,00","3270,90","3288,90","3288,90",24.370
2,29 may 2025,"3283,70","3328,80","3242,40","3317,10","3317,10",24.370
3,28 may 2025,"3293,60","3293,60","3293,60","3293,60","3293,60",127.758
4,27 may 2025,"3332,50","3341,00","3296,30","3299,10","3299,10",189
5,23 may 2025,"3328,00","3363,60","3323,50","3363,60","3363,60",47
6,22 may 2025,"3327,30","3328,00","3282,70","3292,30","3292,30",1210
7,21 may 2025,"3293,40","3317,50","3290,20","3309,30","3309,30",979
8,20 may 2025,"3219,00","3293,20","3207,50","3280,30","3280,30",356
9,19 may 2025,"3234,40","3241,00","3228,30","3228,90","3228,90",266
10,16 may 2025,"3227,70","3228,10","3173,90","3182,00","3182,00",199
11,15 may 2025,"3151,00","3228,10","3125,00","3220,70","3220,70",652
12,14 may 2025,"3233,00","3233,00","3171,70","3181,40","3181,40",3518
13,13 may 2025,"3232,00","3251,40","3223,50","3240,30","3240,30",2424
14,12 may 2025,"3300,70","3300,70","3205,00","3220,00","3220,00",886
15,9 may 2025,"3299,00","3335,50","3299,00","3335,40","3335,40",216
16,8 may 2025,"3390,00","3390,00","3288,70","3296,60","3296,60",200
17,7 may 2025,"3418,70","3418,70","3364,70","3381,40","3381,40",1080
18,6 may 2025,"3365,50","3430,90","3356,80","3411,40","3411,40",2357
19,5 may 2025,"3242,70","3315,70","3239,70","3311,30","3311,30",244
20,2 may 2025,"3239,90","3257,00","3225,00","3231,90","3231,90",1349
21,1 may 2025,"3272,90","3275,00","3198,60","3210,00","3210,00",2131
22,30 abr 2025,"3318,70","3318,70","3268,00","3305,00","3305,00",207
23,29 abr 2025,"3340,00","3340,00","3299,90","3318,80","3318,80",1278
24,28 abr 2025,"3284,50","3332,50","3284,50","3332,50","3332,50",1300
25,25 abr 2025,"3355,50","3355,50","3266,10","3282,40","3282,40",162
26,24 abr 2025,"3305,40","3353,90","3304,90","3332,00","3332,00",560
27,23 abr 2025,"3321,20","3370,30","3256,20","3276,30","3276,30",331
28,22 abr 2025,"3422,20","3485,60","3361,70","3400,80","3400,80",785
29,21 abr 2025,"3342,20","3418,50","3342,20","3406,20","3406,20",78
30,17 abr 2025,"3345,00","3345,00","3287,80","3308,70","3308,70",824
31,16 abr 2025,"3238,30","3334,90","3238,30","3326,60","3326,60",1874
32,15 abr 2025,"3216,00","3218,70","3214,00","3218,70","3218,70",390
33,14 abr 2025,"3215,50","3228,80","3194,50","3204,80","3204,80",263
34,11 abr 2025,"3182,10","3235,00","3182,10","3222,20","3222,20",862
35,10 abr 2025,"3073,90","3167,00","3072,10","3155,20","3155,20",3456
36,9 abr 2025,"2965,80","3090,40","2965,80","3056,50","3056,50",2175
37,8 abr 2025,"2994,00","3014,50","2968,40","2968,40","2968,40",3213
38,7 abr 2025,"3016,40","3050,80","2949,70","2951,30","2951,30",4424
39,4 abr 2025,"3110,50","3127,70","3011,00","3012,00","3012,00",3247
40,3 abr 2025,"3150,00","3166,90","3052,00","3097,00","3097,00",5516
41,2 abr 2025,"3120,70","3168,60","3117,40","3139,90","3139,90",5946
42,1 abr 2025,"3129,70","3149,50","3104,00","3118,90","3118,90",1721
43,31 mar 2025,"3091,00","3132,50","3086,00","3122,80","3122,80",3438
44,28 mar 2025,"3069,70","3094,90","3066,80","3086,50","3086,50",31.206
45,27 mar 2025,"3025,50","3065,00","3025,50","3060,20","3060,20",124.359
46,26 mar 2025,"3033,20","3033,20","3019,50","3020,90","3020,90",83
47,25 mar 2025,"3026,40","3028,80","3023,70","3023,70","3023,70",74
48,24 mar 2025,"3024,30","3024,30","3006,00","3013,10","3013,10",137
49,21 mar 2025,"3034,50","3037,50","3000,90","3018,20","3018,20",151
50,20 mar 2025,"3047,30","3047,30","3034,40","3040,00","3040,00",185
51,19 mar 2025,"3035,20","3050,90","3030,90","3035,90","3035,90",175
52,18 mar 2025,"3006,40","3039,20","3004,40","3035,10","3035,10",428
53,17 mar 2025,"2991,00","3001,50","2989,00","3000,00","3000,00",214
54,14 mar 2025,"2994,40","3004,80","2986,00","2994,50","2994,50",1800
55,13 mar 2025,"2937,10","2988,00","2935,20","2984,30","2984,30",2366
56,12 mar 2025,"2912,00","2939,10","2910,00","2939,10","2939,10",213
57,11 mar 2025,"2884,40","2916,70","2880,40","2912,90","2912,90",197
58,10 mar 2025,"2910,10","2915,10","2880,20","2891,00","2891,00",55
59,7 mar 2025,"2900,90","2927,30","2900,50","2904,70","2904,70",531
60,6 mar 2025,"2904,00","2918,60","2903,80","2916,60","2916,60",870
61,5 mar 2025,"2916,70","2922,00","2893,00","2915,30","2915,30",551
62,4 mar 2025,"2886,10","2927,90","2886,10","2909,60","2909,60",885
63,3 mar 2025,"2872,70","2891,80","2863,40","2890,20","2890,20",423
64,28 feb 2025,"2877,10","2877,10","2834,10","2836,80","2836,80",990
65,27 feb 2025,"2918,50","2922,80","2870,40","2883,20","2883,20",3215
66,26 feb 2025,"2913,50","2917,00","2913,00","2916,80","2916,80",2050
67,25 feb 2025,"2938,70","2943,20","2890,00","2904,50","2904,50",1854
68,24 feb 2025,"2933,10","2957,90","2933,10","2947,90","2947,90",415
69,21 feb 2025,"2938,80","2940,00","2917,30","2937,60","2937,60",570
70,20 feb 2025,"2949,10","2955,80","2924,20","2940,00","2940,00",656
71,19 feb 2025,"2938,70","2946,00","2917,10","2919,40","2919,40",2630
72,18 feb 2025,"2879,20","2936,40","2873,80","2931,60","2931,60",4010
73,14 feb 2025,"2937,30","2944,40","2874,80","2883,60","2883,60",1992
74,13 feb 2025,"2911,30","2937,70","2910,60","2925,90","2925,90",4670
75,12 feb 2025,"2902,00","2912,30","2868,60","2909,00","2909,00",2504
76,11 feb 2025,"2925,50","2945,40","2890,00","2912,50","2912,50",2554
77,10 feb 2025,"2864,20","2916,10","2863,80","2914,30","2914,30",2237
78,7 feb 2025,"2859,90","2889,50","2857,80","2867,30","2867,30",1822
79,6 feb 2025,"2865,20","2871,70","2836,30","2856,00","2856,00",3116
80,5 feb 2025,"2850,00","2880,50","2848,00","2871,60","2871,60",4519
81,4 feb 2025,"2827,60","2853,30","2816,10","2853,30","2853,30",2187
82,3 feb 2025,"2818,20","2848,40","2780,90","2833,90","2833,90",2649
83,31 ene 2025,"2829,00","2838,00","2804,00","2812,50","2812,50",3443
84,30 ene 2025,"2772,50","2829,50","2770,00","2823,00","2823,00",40.141
85,29 ene 2025,"2769,10","2769,10","2769,10","2769,10","2769,10",125.692
86,28 ene 2025,"2738,00","2766,80","2738,00","2766,80","2766,80",2307
87,27 ene 2025,"2761,10","2762,20","2737,50","2737,50","2737,50",984
88,24 ene 2025,"2759,80","2792,00","2759,80","2777,30","2777,30",1593
89,23 ene 2025,"2760,00","2765,00","2745,40","2763,10","2763,10",2201
90,22 ene 2025,"2754,50","2768,80","2753,50","2767,60","2767,60",2079
91,21 ene 2025,"2746,00","2755,00","2724,80","2755,00","2755,00",1439
92,17 ene 2025,"2736,00","2751,60","2725,50","2744,30","2744,30",1214
93,16 ene 2025,"2731,70","2749,80","2731,70","2746,40","2746,40",1721
94,15 ene 2025,"2690,80","2712,50","2690,80","2712,50","2712,50",930
95,14 ene 2025,"2673,60","2688,30","2670,80","2677,50","2677,50",794
96,13 ene 2025,"2711,10","2711,20","2673,50","2673,50","2673,50",765
97,10 ene 2025,"2686,10","2720,10","2683,70","2708,50","2708,50",403
98,9 ene 2025,"2669,70","2686,30","2667,90","2683,80","2683,80",1139
99,8 ene 2025,"2655,50","2676,90","2653,50","2664,50","2664,50",999
100,7 ene 2025,"2653,40","2657,50","2653,00","2656,70","2656,70",643
101,6 ene 2025,"2645,50","2647,00","2617,30","2638,40","2638,40",960
102,3 ene 2025,"2658,70","2658,70","2641,80","2645,00","2645,00",591
103,2 ene 2025,"2633,00","2663,10","2633,00","2658,90","2658,90",1728
104,31 dic 2024,"2608,40","2629,20","2604,90","2629,20","2629,20",401
105,30 dic 2024,"2620,70","2626,90","2597,00","2606,10","2606,10",794
106,27 dic 2024,"2617,70","2617,70","2616,40","2617,20","2617,20",642
107,26 dic 2024,"2628,50","2638,80","2627,90","2638,80","2638,80",84
108,24 dic 2024,"2613,00","2620,00","2609,50","2620,00","2620,00",35
109,23 dic 2024,"2620,00","2627,70","2611,10","2612,30","2612,30",451
110,20 dic 2024,"2605,30","2631,60","2604,90","2628,70","2628,70",592
111,19 dic 2024,"2582,10","2610,30","2582,10","2592,20","2592,20",238
112,18 dic 2024,"2644,30","2647,10","2590,20","2636,50","2636,50",566
113,17 dic 2024,"2651,80","2652,30","2632,50","2644,40","2644,40",705
114,16 dic 2024,"2658,30","2663,30","2651,00","2651,40","2651,40",877
115,13 dic 2024,"2688,20","2689,30","2647,90","2656,00","2656,00",1125
116,12 dic 2024,"2725,10","2725,10","2677,40","2687,50","2687,50",2365
117,11 dic 2024,"2701,80","2733,80","2693,10","2733,80","2733,80",3387
118,10 dic 2024,"2662,30","2698,20","2661,00","2697,60","2697,60",437
119,9 dic 2024,"2632,10","2677,10","2630,80","2664,90","2664,90",935
120,6 dic 2024,"2620,20","2643,10","2617,50","2638,60","2638,60",571
121,5 dic 2024,"2652,40","2655,00","2625,70","2626,60","2626,60",573
122,4 dic 2024,"2639,20","2658,30","2637,00","2653,80","2653,80",249
123,3 dic 2024,"2639,00","2654,70","2636,00","2644,70","2644,70",1062
124,2 dic 2024,"2649,00","2649,80","2621,70","2634,90","2634,90",695
125,29 nov 2024,"2636,40","2664,30","2620,70","2657,00","2657,00",3861
126,27 nov 2024,"2633,50","2657,90","2627,20","2639,90","2639,90",61.653
127,26 nov 2024,"2625,60","2625,60","2620,30","2620,30","2620,30",177.858
128,25 nov 2024,"2689,40","2689,40","2616,80","2616,80","2616,80",94
129,22 nov 2024,"2687,50","2710,50","2685,60","2709,90","2709,90",41
130,21 nov 2024,"2659,30","2672,10","2655,70","2672,10","2672,10",33
131,20 nov 2024,"2638,50","2648,20","2638,50","2648,20","2648,20",27
132,19 nov 2024,"2621,90","2627,70","2619,30","2627,10","2627,10",87
133,18 nov 2024,"2591,70","2610,70","2589,40","2610,60","2610,60",136
134,15 nov 2024,"2565,70","2565,70","2565,70","2565,70","2565,70",20
135,14 nov 2024,"2555,10","2576,20","2554,20","2568,20","2568,20",27
136,13 nov 2024,"2611,10","2611,80","2580,80","2580,80","2580,80",53
137,12 nov 2024,"2605,50","2605,50","2592,80","2600,00","2600,00",118
138,11 nov 2024,"2671,70","2671,70","2611,20","2611,20","2611,20",20
139,8 nov 2024,"2688,50","2694,60","2682,90","2687,50","2687,50",1038
140,7 nov 2024,"2662,50","2699,10","2662,50","2698,40","2698,40",676
141,6 nov 2024,"2734,50","2734,50","2659,40","2667,60","2667,60",427
142,5 nov 2024,"2743,00","2743,90","2740,30","2740,30","2740,30",23
143,4 nov 2024,"2736,50","2737,10","2736,10","2736,10","2736,10",16
144,1 nov 2024,"2745,50","2756,00","2734,20","2738,60","2738,60",109
145,31 oct 2024,"2787,40","2787,50","2733,50","2738,30","2738,30",849
146,30 oct 2024,"2774,60","2789,00","2774,60","2788,50","2788,50",231
147,29 oct 2024,"2768,40","2768,40","2768,40","2768,40","2768,40",848
148,28 oct 2024,"2736,10","2742,90","2729,50","2742,90","2742,90",56
149,25 oct 2024,"2725,50","2742,40","2725,50","2740,90","2740,90",29
150,24 oct 2024,"2729,00","2736,10","2729,00","2734,90","2734,90",27
151,23 oct 2024,"2742,50","2742,50","2714,20","2714,40","2714,40",18
152,22 oct 2024,"2731,70","2746,00","2728,60","2744,20","2744,20",93
153,21 oct 2024,"2721,90","2738,40","2719,50","2723,10","2723,10",52
154,18 oct 2024,"2713,70","2719,60","2713,70","2713,70","2713,70",29
155,17 oct 2024,"2677,40","2691,70","2677,20","2691,00","2691,00",30
156,16 oct 2024,"2674,00","2674,00","2674,00","2674,00","2674,00",6
157,15 oct 2024,"2661,40","2661,40","2661,40","2661,40","2661,40",39
158,14 oct 2024,"2655,00","2655,30","2647,80","2647,80","2647,80",40
159,11 oct 2024,"2638,30","2658,10","2638,20","2657,60","2657,60",12
160,10 oct 2024,"2602,50","2628,30","2602,50","2620,60","2620,60",320
161,9 oct 2024,"2603,00","2607,70","2603,00","2606,00","2606,00",152
162,8 oct 2024,"2639,00","2639,00","2609,30","2615,00","2615,00",687
163,7 oct 2024,"2648,70","2657,40","2639,00","2644,80","2644,80",284
164,4 oct 2024,"2656,00","2667,00","2639,00","2645,80","2645,80",114
165,3 oct 2024,"2642,80","2657,10","2640,00","2657,10","2657,10",354
166,2 oct 2024,"2650,60","2657,20","2640,00","2647,10","2647,10",72
167,1 oct 2024,"2631,40","2670,90","2631,40","2667,30","2667,30",153
168,30 sept 2024,"2660,90","2662,10","2623,20","2636,10","2636,10",973
169,27 sept 2024,"2670,00","2672,10","2641,70","2644,30","2644,30",4228
170,26 sept 2024,"2662,30","2669,90","2660,80","2669,90","2669,90",17.216
171,25 sept 2024,"2656,30","2664,20","2649,30","2659,20","2659,20",175
172,24 sept 2024,"2636,80","2662,30","2625,50","2651,20","2651,20",35
173,23 sept 2024,"2626,50","2626,50","2626,50","2626,50","2626,50",9
174,20 sept 2024,"2590,40","2621,80","2590,40","2619,90","2619,90",17
175,19 sept 2024,"2566,00","2588,00","2566,00","2588,00","2588,00",99
176,18 sept 2024,"2570,70","2570,70","2549,20","2570,70","2570,70",25
177,17 sept 2024,"2581,20","2581,80","2564,30","2564,30","2564,30",22
178,16 sept 2024,"2580,40","2580,40","2580,40","2580,40","2580,40",28
179,13 sept 2024,"2568,80","2581,80","2565,00","2581,30","2581,30",31
180,12 sept 2024,"2529,10","2557,00","2523,40","2551,20","2551,20",132
181,11 sept 2024,"2525,80","2525,80","2502,30","2512,10","2512,10",90
182,10 sept 2024,"2512,30","2512,30","2512,30","2512,30","2512,30",5
183,9 sept 2024,"2491,30","2504,70","2491,30","2501,80","2501,80",96
184,6 sept 2024,"2510,30","2517,90","2483,70","2493,50","2493,50",96
185,5 sept 2024,"2493,70","2513,30","2493,40","2511,40","2511,40",54
186,4 sept 2024,"2490,90","2493,40","2483,50","2493,40","2493,40",470
187,3 sept 2024,"2501,60","2501,80","2476,30","2489,90","2489,90",206
188,30 ago 2024,"2519,50","2525,40","2493,80","2493,80","2493,80",208
189,29 ago 2024,"2504,10","2525,70","2503,90","2525,70","2525,70",3966
190,28 ago 2024,"2501,00","2501,00","2501,00","2501,00","2501,00",2353
191,27 ago 2024,"2515,20","2523,10","2506,90","2516,00","2516,00",100
192,26 ago 2024,"2509,90","2523,10","2509,10","2517,70","2517,70",290
193,23 ago 2024,"2486,50","2508,40","2486,50","2508,40","2508,40",94
194,22 ago 2024,"2504,10","2504,10","2471,10","2478,90","2478,90",210
195,21 ago 2024,"2511,00","2515,40","2503,90","2508,40","2508,40",96
196,20 ago 2024,"2503,50","2527,30","2500,70","2511,30","2511,30",187
197,19 ago 2024,"2508,50","2508,50","2487,20","2501,80","2501,80",88
198,16 ago 2024,"2453,50","2508,00","2451,40","2498,60","2498,60",197
199,15 ago 2024,"2451,80","2467,70","2431,20","2453,10","2453,10",285
200,14 ago 2024,"2468,00","2472,10","2439,40","2439,40","2439,40",274
201,13 ago 2024,"2461,00","2470,00","2456,50","2466,70","2466,70",510
202,12 ago 2024,"2432,70","2469,80","2432,00","2462,40","2462,40",566
203,9 ago 2024,"2422,30","2432,10","2418,50","2432,10","2432,10",611
204,8 ago 2024,"2384,30","2422,80","2384,30","2422,20","2422,20",201
205,7 ago 2024,"2392,20","2401,00","2384,50","2390,50","2390,50",130
206,6 ago 2024,"2414,50","2421,80","2380,00","2389,10","2389,10",163
207,5 ago 2024,"2442,00","2449,80","2367,40","2401,70","2401,70",334
208,2 ago 2024,"2444,00","2477,00","2416,00","2425,70","2425,70",550
209,1 ago 2024,"2446,70","2455,10","2430,40","2435,00","2435,00",690
210,31 jul 2024,"2407,10","2447,60","2402,80","2426,50","2426,50",1313
211,30 jul 2024,"2380,90","2409,30","2373,80","2405,00","2405,00",25.944
212,29 jul 2024,"2377,30","2377,30","2377,30","2377,30","2377,30",126.409
213,26 jul 2024,"2368,70","2386,90","2368,70","2380,00","2380,00",95
214,25 jul 2024,"2365,50","2365,50","2351,90","2351,90","2351,90",31
215,24 jul 2024,"2421,00","2421,00","2411,60","2413,30","2413,30",6
216,23 jul 2024,"2395,80","2404,60","2388,70","2404,60","2404,60",41
217,22 jul 2024,"2402,10","2402,10","2392,00","2392,00","2392,00",18
218,19 jul 2024,"2418,80","2419,20","2395,50","2395,50","2395,50",15
219,18 jul 2024,"2466,00","2466,00","2451,80","2451,80","2451,80",2
220,17 jul 2024,"2472,90","2473,10","2454,80","2454,80","2454,80",10
221,16 jul 2024,"2427,40","2462,40","2427,40","2462,40","2462,40",93
222,15 jul 2024,"2430,00","2436,00","2422,90","2422,90","2422,90",540
223,12 jul 2024,"2399,80","2414,00","2391,30","2414,00","2414,00",355
224,11 jul 2024,"2378,70","2416,70","2378,70","2415,00","2415,00",72
225,10 jul 2024,"2366,30","2377,00","2365,80","2372,20","2372,20",19
226,9 jul 2024,"2363,10","2363,70","2360,10","2360,10","2360,10",9
227,8 jul 2024,"2381,70","2383,80","2352,80","2355,20","2355,20",64
228,5 jul 2024,"2354,90","2388,50","2354,90","2388,50","2388,50",72
229,3 jul 2024,"2330,90","2361,60","2330,90","2359,80","2359,80",59
230,2 jul 2024,"2330,70","2334,60","2323,00","2323,00","2323,00",30
231,1 jul 2024,"2323,80","2329,70","2321,70","2327,60","2327,60",237
232,28 jun 2024,"2325,40","2338,30","2319,00","2327,70","2327,70",92
233,27 jun 2024,"2296,80","2329,00","2295,00","2324,50","2324,50",1532
234,26 jun 2024,"2307,90","2314,40","2298,00","2299,20","2299,20",986
235,25 jun 2024,"2324,40","2333,00","2316,60","2316,60","2316,60",105
236,24 jun 2024,"2323,30","2332,90","2322,70","2330,00","2330,00",99
237,21 jun 2024,"2331,20","2331,20","2316,40","2316,40","2316,40",76
238,20 jun 2024,"2328,90","2354,00","2328,30","2353,80","2353,80",183
239,18 jun 2024,"2311,80","2330,40","2311,80","2330,40","2330,40",43
240,17 jun 2024,"2320,20","2320,20","2309,60","2312,40","2312,40",110
241,14 jun 2024,"2307,00","2331,40","2305,80","2331,40","2331,40",948
242,13 jun 2024,"2309,40","2317,70","2296,20","2300,20","2300,20",298
243,12 jun 2024,"2314,90","2338,70","2310,30","2336,00","2336,00",132
244,11 jun 2024,"2300,00","2314,10","2300,00","2307,50","2307,50",871
245,10 jun 2024,"2290,60","2309,30","2290,50","2307,70","2307,70",69
246,7 jun 2024,"2379,90","2385,10","2285,40","2305,20","2305,20",269
247,6 jun 2024,"2355,00","2375,80","2355,00","2370,30","2370,30",179
248,5 jun 2024,"2326,40","2354,30","2326,20","2354,10","2354,10",295
249,4 jun 2024,"2347,50","2347,70","2313,90","2325,50","2325,50",890
250,3 jun 2024,"2322,60","2347,50","2312,00","2346,60","2346,60",781
